dog_breed,category,datadog_score,popularity_in_us,lifetime_cost_usd,intelligence_trainability_ranking,intelligence_trainability_percent,longevity_years,longevity_percent,num_genetic_ailments,genetic_ailments_percent,avg_purchase_price_us,avg_purchase_price_us_percent,food_costs_yearly_usd,food_costs_yearly_percent,grooming_required,grooming_required_percent,suitability_for_children_score,suitability_for_children_percent,ultimate top_dog_mega_score_kids,ultimate_top_data_dog_mega_ranking_no_kids,ultimate_top_data_dog_mega_ranking_kids,ultimate_top_dog_mega_score,popularity_rating,size_category,weight_kg,weight_lbs,shoulder_height_cm,shoulder_height_in,intelligence_category,repetitions_new_commands,obey_first_command_percent,longevity_sample_size,genetic_diseases_congenital,congenital_ailments_areas_affected,lifetime_cost_usd.1,lifetime_cost_percent,avg_purchase_price_usd,price_category,lowest_usd,highest_usd,avg_food_weekly_â£,min_gpb,max_gpb,food_weekly_usd,food_yearly_usd,food_lifetime_usd,other_costs_total_usd,total_yearly_usd,total_yearly_gbp,treats_enrichment_yearly_gpb,pet_sitters_yearly_gbp,grooming_yearly_gbp,vet_fees_yearly_gbp,startup_costs
Field Spaniel,sporting,,141,20054.5,34,,9.9,,0,,no data,,,,1,,2,,,,,,,medium,no data,no data,44,17.5,Above average,15-25,>70,139,none,none,no data,,no data,no data,no data,no data,5.75,4,7.5,7.67,,3963,10355,1046,784,121,126,244,177,200
Finnish Lapphund,herding,,104,20054.5,no data,,7.33,,no data,,no data,,,,1,,1,,,,,,,medium,no data,no data,47,18.5,no data,no data,no data,5,no data,no data,no data,,no data,no data,no data,no data,5.75,4,7.5,7.67,,2934,7667,1046,784,121,126,244,177,200
Finnish Spitz,non-sporting,,167,20054.5,43,,11.17,,0,,no data,,,,2,,1,,,,,,,medium,no data,no data,45,17.75,Average,25-40,>50,42,none,none,no data,,no data,no data,no data,no data,5.75,4,7.5,7.67,,4471,11683,1046,784,121,126,244,177,200
German Pinscher,working,,137,20054.5,no data,,11.42,,no data,,1500,,,,-,,-,,,,,,,medium,no data,no data,47,18.5,no data,no data,no data,24,no data,no data,no data,,1500,high-end,1500,1500,no data,no data,no data,no data,,no data,11945,1046,784,121,126,244,177,200
German Wirehaired Pointer,sporting,,75,20054.5,44,,10.0,,1,,655,,,,-,,-,,,,,,,large,no data,no data,61,24,Average,25-40,>50,41,hip problems,hip dysplasia,no data,,655,budget,600,800,no data,no data,no data,no data,,no data,10459,1046,784,121,126,244,177,200
Glen of Imaal Terrier,terrier,,158,20054.5,no data,,10.42,,no data,,no data,,,,-,,-,,,,,,,small,16,35,34,13.25,no data,no data,no data,6,no data,no data,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,10899,1046,784,121,126,244,177,200
Great Pyrenees,working,,71,20054.5,64,,10.0,,1,,503,,,,-,,-,,,,,,,large,no data,no data,72,28.5,Fair,40-80,>30,454,hip problems,hip dysplasia,no data,,503,budget,225,800,no data,no data,no data,no data,,no data,10459,1046,784,121,126,244,177,200
Greater Swiss Mountain Dog,working,,82,20054.5,no data,,6.8,,1,,1605,,,,-,,-,,,,,,,large,no data,no data,66,26,no data,no data,no data,71,hip problems,hip dysplasia,no data,,1605,high-end,900,2500,no data,no data,no data,no data,,no data,7112,1046,784,121,126,244,177,200
Harrier,hound,,172,20054.5,no data,,11.13,,0,,no data,,,,-,,-,,,,,,,medium,no data,no data,51,20,no data,no data,no data,-,none,none,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Havanese,toy,,31,20054.5,no data,,10.25,,0,,830,,,,-,,-,,,,,,,small,no data,no data,25,9.75,no data,no data,no data,3,none,none,no data,,830,mid-price,300,1500,no data,no data,no data,no data,,no data,10721,1046,784,121,126,244,177,200
Ibizan Hound,hound,,149,20054.5,53,,9.73,,0,,1500,,,,2,,1,,,,,,,large,no data,no data,64,25,Average,25-40,>50,-,none,none,no data,,1500,high-end,1500,1500,5.75,4,7.5,7.67,,no data,no data,1046,784,121,126,244,177,200
Icelandic Sheepdog,herding,,143,20054.5,no data,,11.13,,no data,,no data,,,,-,,-,,,,,,,medium,no data,no data,44,17.25,no data,no data,no data,-,no data,no data,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Irish Red and White Setter,sporting,,147,20054.5,no data,,11.57,,no data,,1000,,,,-,,-,,,,,,,large,no data,no data,62,24.25,no data,no data,no data,199,no data,no data,no data,,1000,mid-price,"1,000","1,000",no data,no data,no data,no data,,no data,12102,1046,784,121,126,244,177,200
Irish Terrier,terrier,,132,20054.5,53,,11.13,,0,,588,,,,2,,1,,,,,,,medium,12,26,46,18,Average,25-40,>50,-,none,none,no data,,588,budget,400,850,5.75,4,7.5,7.67,,no data,no data,1046,784,121,126,244,177,200
